x,cloudletId,startTime,finishTime,cost
512,1.0,0.0,160.0,76.0
512,3.0,0.0,160.0,76.0
512,5.0,0.0,160.0,76.0
512,7.0,0.0,160.0,76.0
512,9.0,0.0,160.0,76.0
512,11.0,0.0,160.0,76.0
512,13.0,0.0,160.0,76.0
512,15.0,0.0,160.0,76.0
512,17.0,0.0,160.0,76.0
512,19.0,0.0,160.0,76.0
512,21.0,0.0,160.0,76.0
512,23.0,0.0,160.0,76.0
512,25.0,0.0,160.0,76.0
512,27.0,0.0,160.0,76.0
512,29.0,0.0,160.0,76.0
512,31.0,0.0,160.0,76.0
512,33.0,0.0,160.0,76.0
512,35.0,0.0,160.0,76.0
512,37.0,0.0,160.0,76.0
512,39.0,0.0,160.0,76.0
512,41.0,0.0,160.0,76.0
512,43.0,0.0,160.0,76.0
512,45.0,0.0,160.0,76.0
512,47.0,0.0,160.0,76.0
512,49.0,0.0,160.0,76.0
512,51.0,0.0,160.0,76.0
512,53.0,0.0,160.0,76.0
512,55.0,0.0,160.0,76.0
512,57.0,0.0,160.0,76.0
512,59.0,0.0,160.0,76.0
512,61.0,0.0,160.0,76.0
512,63.0,0.0,160.0,76.0
512,65.0,0.0,160.0,76.0
512,67.0,0.0,160.0,76.0
512,0.0,0.0,160.0,76.0
512,2.0,0.0,160.0,76.0
512,4.0,0.0,160.0,76.0
512,6.0,0.0,160.0,76.0
512,8.0,0.0,160.0,76.0
512,10.0,0.0,160.0,76.0
512,12.0,0.0,160.0,76.0
512,14.0,0.0,160.0,76.0
512,16.0,0.0,160.0,76.0
512,18.0,0.0,160.0,76.0
512,20.0,0.0,160.0,76.0
512,22.0,0.0,160.0,76.0
512,24.0,0.0,160.0,76.0
512,26.0,0.0,160.0,76.0
512,28.0,0.0,160.0,76.0
512,30.0,0.0,160.0,76.0
512,32.0,0.0,160.0,76.0
512,34.0,0.0,160.0,76.0
512,36.0,0.0,160.0,76.0
512,38.0,0.0,160.0,76.0
512,40.0,0.0,160.0,76.0
512,42.0,0.0,160.0,76.0
512,44.0,0.0,160.0,76.0
512,46.0,0.0,160.0,76.0
512,48.0,0.0,160.0,76.0
512,50.0,0.0,160.0,76.0
512,52.0,0.0,160.0,76.0
512,54.0,0.0,160.0,76.0
512,56.0,0.0,160.0,76.0
512,58.0,0.0,160.0,76.0
512,60.0,0.0,160.0,76.0
512,62.0,0.0,160.0,76.0
512,64.0,0.0,160.0,76.0
512,66.0,0.0,160.0,76.0
1024,1.0,0.0,160.0,76.0
1024,3.0,0.0,160.0,76.0
1024,5.0,0.0,160.0,76.0
1024,7.0,0.0,160.0,76.0
1024,9.0,0.0,160.0,76.0
1024,11.0,0.0,160.0,76.0
1024,13.0,0.0,160.0,76.0
1024,15.0,0.0,160.0,76.0
1024,17.0,0.0,160.0,76.0
1024,19.0,0.0,160.0,76.0
1024,21.0,0.0,160.0,76.0
1024,23.0,0.0,160.0,76.0
1024,25.0,0.0,160.0,76.0
1024,27.0,0.0,160.0,76.0
1024,29.0,0.0,160.0,76.0
1024,31.0,0.0,160.0,76.0
1024,33.0,0.0,160.0,76.0
1024,35.0,0.0,160.0,76.0
1024,37.0,0.0,160.0,76.0
1024,39.0,0.0,160.0,76.0
1024,41.0,0.0,160.0,76.0
1024,43.0,0.0,160.0,76.0
1024,45.0,0.0,160.0,76.0
1024,47.0,0.0,160.0,76.0
1024,49.0,0.0,160.0,76.0
1024,51.0,0.0,160.0,76.0
1024,53.0,0.0,160.0,76.0
1024,55.0,0.0,160.0,76.0
1024,57.0,0.0,160.0,76.0
1024,59.0,0.0,160.0,76.0
1024,61.0,0.0,160.0,76.0
1024,63.0,0.0,160.0,76.0
1024,65.0,0.0,160.0,76.0
1024,67.0,0.0,160.0,76.0
1024,0.0,0.0,160.0,76.0
1024,2.0,0.0,160.0,76.0
